size,time,environment
4,0.25296211,singularity
4,0.31661987,singularity
8,0.28014183,singularity
8,0.30255318,singularity
8,0.27942657,singularity
8,0.35905838,singularity
8,0.22292137,singularity
8,0.33378601,singularity
8,0.29325485,singularity
8,0.29945374,singularity
8,0.27322769,singularity
8,0.35047531,singularity
8,0.26655197,singularity
8,0.28538704,singularity
8,0.27060509,singularity
8,0.35786629,singularity
8,0.26845932,singularity
8,0.37384033,singularity
8,0.26082993,singularity
8,0.31161308,singularity
8,0.22435188,singularity
8,0.31375885,singularity
16,0.29778481,singularity
16,0.30469894,singularity
16,0.27203560,singularity
16,0.37932396,singularity
16,0.31781197,singularity
16,0.38623810,singularity
16,0.26631355,singularity
16,0.36954880,singularity
16,0.26130676,singularity
16,0.30612946,singularity
16,0.29134750,singularity
16,0.30040741,singularity
16,0.26774406,singularity
16,0.34642220,singularity
16,0.32377243,singularity
16,0.28538704,singularity
16,0.31590462,singularity
16,0.38576126,singularity
16,0.26869774,singularity
16,0.38242340,singularity
32,0.26440620,singularity
32,0.35238266,singularity
32,0.26965141,singularity
32,0.35023689,singularity
32,0.27656555,singularity
32,0.29373169,singularity
32,0.27227402,singularity
32,0.35119057,singularity
32,0.27108192,singularity
32,0.34761429,singularity
32,0.28252602,singularity
32,0.32091141,singularity
32,0.26798248,singularity
32,0.37431717,singularity
32,0.26369095,singularity
32,0.30779839,singularity
32,0.22459030,singularity
32,0.33569336,singularity
32,0.22292137,singularity
32,0.31352043,singularity
64,0.30469894,singularity
64,0.28824806,singularity
64,0.27155876,singularity
64,0.30350685,singularity
64,0.26202202,singularity
64,0.31900406,singularity
64,0.22244453,singularity
64,0.32901764,singularity
64,0.29730797,singularity
64,0.30326843,singularity
64,0.31495094,singularity
64,0.30636787,singularity
64,0.27084351,singularity
64,0.37622452,singularity
64,0.26130676,singularity
64,0.31018257,singularity
64,0.22554398,singularity
64,0.32091141,singularity
64,0.22006035,singularity
64,0.30922890,singularity
128,0.29897690,singularity
128,0.31065941,singularity
128,0.27084351,singularity
128,0.37145615,singularity
128,0.27894974,singularity
128,0.37884712,singularity
128,0.26917458,singularity
128,0.37908554,singularity
128,0.26750565,singularity
128,0.31971931,singularity
128,0.22602081,singularity
128,0.33831596,singularity
128,0.22315979,singularity
128,0.30779839,singularity
128,0.27966499,singularity
128,0.35715103,singularity
128,0.27489662,singularity
128,0.39744377,singularity
128,0.32067299,singularity
128,0.38790703,singularity
256,0.30541420,singularity
256,0.30636787,singularity
256,0.27799606,singularity
256,0.34999847,singularity
256,0.32949448,singularity
256,0.29134750,singularity
256,0.32687187,singularity
256,0.38814545,singularity
256,0.32138824,singularity
256,0.31471252,singularity
256,0.27728081,singularity
256,0.37574768,singularity
256,0.27084351,singularity
256,0.37074089,singularity
256,0.29897690,singularity
256,0.35500526,singularity
256,0.27751923,singularity
256,0.34546852,singularity
256,0.32854080,singularity
256,0.29015541,singularity
512,0.26059151,singularity
512,0.33354759,singularity
512,0.26249886,singularity
512,0.30207634,singularity
512,0.27918816,singularity
512,0.34642220,singularity
512,0.29087067,singularity
512,0.35500526,singularity
512,0.28061867,singularity
512,0.34952164,singularity
512,0.29230118,singularity
512,0.40674210,singularity
512,0.31948090,singularity
512,0.31161308,singularity
512,0.29325485,singularity
512,0.35953522,singularity
512,0.28800964,singularity
512,0.38671494,singularity
512,0.26154518,singularity
512,0.31328201,singularity
1024,0.30279160,singularity
1024,0.35786629,singularity
1024,0.31185150,singularity
1024,0.40817261,singularity
1024,0.31185150,singularity
1024,0.36549568,singularity
1024,0.30517578,singularity
1024,0.41151047,singularity
1024,0.26917458,singularity
1024,0.34356117,singularity
1024,0.29063225,singularity
1024,0.36001205,singularity
1024,0.26130676,singularity
1024,0.37693977,singularity
1024,0.29563904,singularity
1024,0.39219856,singularity
1024,0.31280518,singularity
1024,0.36549568,singularity
1024,0.26106834,singularity
1024,0.30636787,singularity
2048,0.35762787,singularity
2048,0.35905838,singularity
2048,0.43010712,singularity
2048,0.30565262,singularity
2048,0.36382675,singularity
2048,0.43916702,singularity
2048,0.36430359,singularity
2048,0.37217140,singularity
2048,0.37050247,singularity
2048,0.35619736,singularity
2048,0.42939186,singularity
2048,0.30565262,singularity
2048,0.36501884,singularity
2048,0.43916702,singularity
2048,0.36144257,singularity
2048,0.37479401,singularity
2048,0.37264824,singularity
2048,0.35810471,singularity
2048,0.43010712,singularity
2048,0.30541420,singularity
4096,0.38051605,singularity
4096,0.57554245,singularity
4096,0.57411194,singularity
4096,0.37980080,singularity
4096,0.54979324,singularity
4096,0.47612190,singularity
4096,0.52738190,singularity
4096,0.33712387,singularity
4096,0.36120415,singularity
4096,0.51403046,singularity
4096,0.52833557,singularity
4096,0.33688545,singularity
4096,0.35810471,singularity
4096,0.51331520,singularity
4096,0.52785873,singularity
4096,0.34284592,singularity
4096,0.35881996,singularity
4096,0.51188469,singularity
4096,0.52738190,singularity
4096,0.33903122,singularity
8192,0.37264824,singularity
8192,0.51355362,singularity
8192,0.34856796,singularity
8192,0.40054321,singularity
8192,0.70738792,singularity
8192,0.36668777,singularity
8192,0.58078766,singularity
8192,0.60749054,singularity
8192,0.56600571,singularity
8192,0.47302246,singularity
8192,0.37217140,singularity
8192,0.46920776,singularity
8192,0.37574768,singularity
8192,0.46706200,singularity
8192,0.37431717,singularity
8192,0.46753883,singularity
8192,0.37693977,singularity
8192,0.50044060,singularity
8192,0.58269501,singularity
8192,0.59127808,singularity
16384,0.81562996,singularity
16384,0.73766708,singularity
16384,0.69046021,singularity
16384,0.73242188,singularity
16384,0.87308884,singularity
16384,0.69236755,singularity
16384,0.48732758,singularity
16384,0.69165230,singularity
16384,0.63800812,singularity
16384,0.91004372,singularity
16384,0.70905685,singularity
16384,0.69737434,singularity
16384,0.69952011,singularity
16384,0.60534477,singularity
16384,0.70810318,singularity
16384,0.44870377,singularity
16384,0.63753128,singularity
16384,0.91671944,singularity
16384,0.72813034,singularity
16384,0.67973137,singularity
32768,0.97131729,singularity
32768,1.09028816,singularity
32768,0.99563599,singularity
32768,0.91934204,singularity
32768,0.99730492,singularity
32768,1.08695030,singularity
32768,0.98443031,singularity
32768,0.94699860,singularity
32768,0.96988678,singularity
32768,0.96035004,singularity
32768,0.78725815,singularity
32768,0.99325180,singularity
32768,1.06072426,singularity
32768,0.74434280,singularity
32768,0.80227852,singularity
32768,0.91838837,singularity
32768,0.77509880,singularity
32768,0.89597702,singularity
32768,0.77176094,singularity
32768,0.82373619,singularity
65536,1.08909607,singularity
65536,1.42145157,singularity
65536,1.30629539,singularity
65536,1.48749352,singularity
65536,1.13558769,singularity
65536,1.25575066,singularity
65536,1.32608414,singularity
65536,1.64628029,singularity
65536,1.29127502,singularity
65536,1.10363960,singularity
65536,1.40285492,singularity
65536,1.64294243,singularity
65536,1.22714043,singularity
65536,2.07781792,singularity
65536,1.48296356,singularity
65536,1.49941444,singularity
65536,1.02329254,singularity
65536,1.37901306,singularity
65536,1.42335892,singularity
65536,2.45046616,singularity
131072,2.41541862,singularity
131072,2.04777718,singularity
131072,1.91235542,singularity
131072,1.92141533,singularity
131072,2.03514099,singularity
131072,1.68800354,singularity
131072,1.65915489,singularity
131072,1.72281265,singularity
131072,1.62553787,singularity
131072,1.89065933,singularity
131072,2.04420090,singularity
131072,2.00700760,singularity
131072,2.08139420,singularity
131072,1.84249878,singularity
131072,2.16388702,singularity
131072,1.67918205,singularity
131072,2.16937065,singularity
131072,1.65700912,singularity
131072,2.14552879,singularity
262144,2.94756889,singularity
262144,2.63762474,singularity
262144,3.18884850,singularity
262144,3.16476822,singularity
262144,2.99906731,singularity
262144,2.80427933,singularity
262144,2.69222260,singularity
262144,3.15523148,singularity
262144,2.99763680,singularity
262144,2.96831131,singularity
262144,2.53319740,singularity
262144,2.93087959,singularity
